Taxa,Group,Organism,Reference,Movement,Reference,Trophic,Reference,N_fixation,Reference,Silica,Reference
Acanthoceras,Bacilariophyta (Diatom),Individual,,Passively,,Photoautotrophic,,Non_N_fixing,,Silica,https://doi.org/10.1016/B978-012741550-5/50017-9
Achnanthidium,Bacilariophyta (Diatom),Individual,,Passively,,Photoautotrophic,,Non_N_fixing,,Silica,https://doi.org/10.1016/B978-012741550-5/50017-9
Achnanthes,Bacilariophyta (Diatom),Individual,,Mucilage,,Photoautotrophic,,Non_N_fixing,,Silica,https://doi.org/10.1016/B978-012741550-5/50017-9
Actinastrum,Chlorophyta (Green algae),Colonial,https://www.algaebase.org/search/genus/detail/?genus_id=43466,Passively,,Photoautotrophic,,Non_N_fixing,,Non_silica,
Actinotaenium,Chlorophyta (Green algae),Individual,,Passively,,Photoautotrophic,,Non_N_fixing,,Non_silica,
Amphora,Bacilariophyta (Diatom),Individual,,Mucilage,,Mixotrophic,,Non_N_fixing,,Silica,
Dolichospermum,Cyanophyta (Blue green),Filamentous,,Buoyancy,https://doi.org/10.1038/s41598-019-40883-1,Mixotrophic,,N_fixing,https://doi.org/10.1016/j.chemosphere.2022.134784,Non_silica,
Ankistrodesmus,Chlorophyta (Green algae),Individual,,Passively,,Photoautotrophic,,Non_N_fixing,,Non_silica,
Ankistrodesmus.falcatus,Chlorophyta (Green algae),Colonial,,Passively,,Mixotrophic,https://odr.chalmers.se/server/api/core/bitstreams/149943ab-03ba-4d74-9a08-91f0c9885302/content,Non_N_fixing,,Non_silica,
Ankyra,Chlorophyta (Green algae),Individual,,Passively,,Photoautotrophic,,Non_N_fixing,,Non_silica,
Aphanizomenon,Cyanophyta (Blue green),Filamentous,https://doi.org/10.1016/j.hal.2015.09.007,Buoyancy,https://doi.org/10.1016/S0043-1354(98)00393-5,Photoautotrophic,,N_fixing,https://doi.org/10.1016/j.hal.2015.09.007,Non_silica,
Aphanocapsa,Cyanophyta (Blue green),Colonial,,Passively,"https://www.montclair.edu/water-science/freshwater-cyanobacteria-of-new-jersey/visual-guide-to-cyanobacteria-in-new-jersey/coccoid/colonial/aphanocapsa/#:~:text=Cells%20are%20spherical%2C%20or%20hemispherical,%2Dgreen%20to%20olive%2Dgreen.",Photoautotrophic,,Non_N_fixing,,Non_silica,
Aphanocapsa.incerta,Cyanophyta (Blue green),Colonial,,Passively,,Photoautotrophic,,Non_N_fixing,,Non_silica,
Anathece,Cyanophyta (Blue green),Colonial,https://doi.org/10.1016/j.algal.2023.103241,Buoyancy,https://doi.org/10.1128/mr.58.1.94-144.1994,Photoautotrophic,,N_fixing,https://doi.org/10.1007/BF00409511,Non_silica,
Asterionella,Bacilariophyta (Diatom),Colonial,https://diatoms.org/genera/asterionella/guide,Passively,,Photoautotrophic,,Non_N_fixing,,Silica,
Aulacoseira,Bacilariophyta (Diatom),Filamentous,,Passively,,Mixotrophic,"	https://doi.org/10.1051/limn/2018009",Non_N_fixing,,Silica,
Bacillaria,Bacilariophyta (Diatom),Colonial,,Passively,,Photoautotrophic,,Non_N_fixing,,Silica,
Bi.flagellate,Bacilariophyta (Diatom),Individual,,Flagellar,,Photoautotrophic,,Non_N_fixing,,Silica,
Blue.green.sp,Cyanophyta (Blue green),Individual,,Passively,,Photoautotrophic,,Non_N_fixing,,Non_silica,
Botryococcus.sp1,Chlorophyta (Green algae),Colonial,https://doi.org/10.1007/s00253-004-1779-z,Passively,,Mixotrophic,https://doi.org/10.1016/j.biombioe.2011.01.002,Non_N_fixing,,Non_silica,
Botryococcus.sp2,Chlorophyta (Green algae),Colonial,https://doi.org/10.1007/s00253-004-1779-z,Passively,,Mixotrophic,https://doi.org/10.1016/j.biombioe.2011.01.002,Non_N_fixing,,Non_silica,
Carteria,Chlorophyta (Green algae),Individual,,Flagellar,,Photoautotrophic,,Non_N_fixing,,Non_silica,
Ceratium,Dinophyta,Individual,,Flagellar,,Mixotrophic,"	https://doi.org/10.1051/limn/2018009",Non_N_fixing,,Non_silica,
Ceratium.furca,Dinophyta,Individual,,Flagellar,,Mixotrophic,10.3354/meps262137,Non_N_fixing,,Non_silica,
Chaetoceros,Bacilariophyta (Diatom),Colonial,https://irlspecies.org/taxa/index.php?taxon=2884&cl=,Passively,,Photoautotrophic,,Non_N_fixing,,Silica,
Chlamydomonas,Chlorophyta (Green algae),Individual,,Flagellar,,Mixotrophic,https://doi.org/10.1186/1752-0509-3-4,Non_N_fixing,,Non_silica,
Chodatella,Chlorophyta (Green algae),Individual,,Passively,,Mixotrophic,,Non_N_fixing,,Non_silica,
Chroococcus.sp1,Cyanophyta (Blue green),Colonial,https://doi.org/10.1016/B978-012741550-5/50004-0,Passively,,Photoautotrophic,,Non_N_fixing,,Non_silica,
Chroococcus.sp2,Cyanophyta (Blue green),Colonial,https://doi.org/10.1016/B978-012741550-5/50004-0,Passively,,Photoautotrophic,,Non_N_fixing,,Non_silica,
Chroomonas,Cryptophyta,Individual,,Flagellar,,Mixotrophic,"	https://doi.org/10.1051/limn/2018009",Non_N_fixing,,Non_silica,
Closteriopsis,Chlorophyta (Green algae),Individual,,Passively,,Photoautotrophic,,Non_N_fixing,,Non_silica,
Closterium,Chlorophyta (Green algae),Individual,,Passively,,Photoautotrophic,,Non_N_fixing,,Non_silica,
Blue.green.sp1,Cyanophyta (Blue green),Colonial,,Passively,,Photoautotrophic,,Non_N_fixing,,Non_silica,
Cocconeis,Bacilariophyta (Diatom),Individual,,Mucilage,,Photoautotrophic,,Non_N_fixing,,Silica,
Coelastrum,Chlorophyta (Green algae),Colonial,,Passively,,Photoautotrophic,,Non_N_fixing,,Non_silica,
Coelosphaerium,Cyanophyta (Blue green),Colonial, 10.1038/srep41928,Buoyancy,,Photoautotrophic,,Non_N_fixing,,Non_silica,
Coscinodiscus,Bacilariophyta (Diatom),Individual,,Passively,,Photoautotrophic,,Non_N_fixing,,Silica,
Cosmarium,Chlorophyta (Green algae),Individual,,Passively,,Photoautotrophic,,Non_N_fixing,,Non_silica,
Crucigenia,Chlorophyta (Green algae),Colonial,,Passively,,Photoautotrophic,,Non_N_fixing,,Non_silica,
Cryptomonas,Cryptophyta,Individual,,Flagellar,,Mixotrophic,"	https://doi.org/10.1051/limn/2018009",Non_N_fixing,,Non_silica,
Cuspidothrix.issatschenkoi,Cyanophyta (Blue green),Filamentous,,Buoyancy,,Photoautotrophic,,N_fixing,https://doi.org/10.1016/j.hal.2015.09.007,Non_silica,
